id,name,attribute_id/id
boxwise_wms_pampiraiki.product_attribute_value_sxs,XS,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_ss,S,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_sm,M,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_sl,L,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_sxl,XL,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_sxxl,XXL+,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_smix,Mixed,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_sone,One size,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_s06m,0-6 months,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_s612m,6-12 months,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_s012m,0-12 months,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_s13y,1-3 years,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_s47y,4-7 years,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_s811y,8-11 years,boxwise_wms_pampiraiki.product_attribute_size
boxwise_wms_pampiraiki.product_attribute_value_s1216y,12-16 years,boxwise_wms_pampiraiki.product_attribute_size

boxwise_wms_pampiraiki.product_attribute_value_gu,Unisex,boxwise_wms_pampiraiki.product_attribute_gender
boxwise_wms_pampiraiki.product_attribute_value_gmix,Mixed,boxwise_wms_pampiraiki.product_attribute_gender
boxwise_wms_pampiraiki.product_attribute_value_gm,Man,boxwise_wms_pampiraiki.product_attribute_gender
boxwise_wms_pampiraiki.product_attribute_value_gw,Woman,boxwise_wms_pampiraiki.product_attribute_gender
boxwise_wms_pampiraiki.product_attribute_value_gb,Boy,boxwise_wms_pampiraiki.product_attribute_gender
boxwise_wms_pampiraiki.product_attribute_value_gg,Girl,boxwise_wms_pampiraiki.product_attribute_gender
boxwise_wms_pampiraiki.product_attribute_value_gbb,Baby Boy,boxwise_wms_pampiraiki.product_attribute_gender
boxwise_wms_pampiraiki.product_attribute_value_gbg,Baby Girl,boxwise_wms_pampiraiki.product_attribute_gender

boxwise_wms_pampiraiki.product_attribute_value_season_w,Winter,boxwise_wms_pampiraiki.product_attribute_season
boxwise_wms_pampiraiki.product_attribute_value_season_s,Summer,boxwise_wms_pampiraiki.product_attribute_season
boxwise_wms_pampiraiki.product_attribute_value_season_a,All Season,boxwise_wms_pampiraiki.product_attribute_season

boxwise_wms_pampiraiki.product_attribute_value_ss19,19,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss20,20,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss21,21,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss22,22,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss23,23,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss24,24,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss25,25,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss26,26,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss27,27,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss28,28,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss29,29,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss30,30,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss31,31,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss32,32,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss33,33,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss34,34,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss35,35,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss36,36,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss37,37,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss38,38,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss39,39,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss40,40,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss41,41,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss42,42,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss43,43,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss44,44,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss45,45,boxwise_wms_pampiraiki.product_attribute_shoesize
boxwise_wms_pampiraiki.product_attribute_value_ss46,46+,boxwise_wms_pampiraiki.product_attribute_shoesize
